Name|Version|License
---|---|---
[cuelang.org/go](https://cuelang.org/go)|v0.4.1-0.20210622213027-95a50cebaffb|Apache License 2.0
[aws/aws-app-mesh-controller-for-k8s](https://github.com/aws/aws-app-mesh-controller-for-k8s)|v1.1.1|Apache License 2.0
[aws/aws-sdk-go](https://github.com/aws/aws-sdk-go)|v1.41.7|Apache License 2.0
[briandowns/spinner](https://github.com/briandowns/spinner)|v1.16.0|Apache License 2.0
[davecgh/go-spew](https://github.com/davecgh/go-spew)|v1.1.1|ISC License
[docker/distribution](https://github.com/docker/distribution)|v0.0.0-20191216044856-a8371794149d|Apache License 2.0
[envoyproxy/go-control-plane](https://github.com/envoyproxy/go-control-plane)|v0.9.10-0.20210708144103-3a95f2df6351|Apache License 2.0
[gertd/go-pluralize](https://github.com/gertd/go-pluralize)|v0.1.1|MIT License
[ghodss/yaml](https://github.com/ghodss/yaml)|v1.0.1-0.20190212211648-25d852aebe32|MIT License
[go-test/deep](https://github.com/go-test/deep)|v1.0.7|MIT License
[gobuffalo/packr](https://github.com/gobuffalo/packr)|v1.30.1|MIT License
[gogo/protobuf](https://github.com/gogo/protobuf)|v1.3.2|BSD 3-clause "New" or "Revised" License
[golang/protobuf](https://github.com/golang/protobuf)|v1.5.2|BSD 3-clause "New" or "Revised" License
[go-github/v32](https://github.com/google/go-github)|v32.0.0|BSD 3-clause "New" or "Revised" License
[iancoleman/strcase](https://github.com/iancoleman/strcase)|v0.1.3|MIT License
[linkerd/linkerd2](https://github.com/linkerd/linkerd2)|v0.5.1-0.20200402173539-fee70c064bc0|Apache License 2.0
[mitchellh/hashstructure](https://github.com/mitchellh/hashstructure)|v1.0.0|MIT License
[onsi/ginkgo](https://github.com/onsi/ginkgo)|v1.16.4|MIT License
[onsi/gomega](https://github.com/onsi/gomega)|v1.16.0|MIT License
[openservicemesh/osm](https://github.com/openservicemesh/osm)|v0.3.0|MIT License
[pkg/errors](https://github.com/pkg/errors)|v0.9.1|BSD 2-clause "Simplified" License
[pmezard/go-difflib](https://github.com/pmezard/go-difflib)|v1.0.0|BSD 3-clause "New" or "Revised" License
[prometheus/client_golang](https://github.com/prometheus/client_golang)|v1.11.0|Apache License 2.0
[pseudomuto/protoc-gen-doc](https://github.com/pseudomuto/protoc-gen-doc)|v1.4.1|MIT License
[pseudomuto/protokit](https://github.com/pseudomuto/protokit)|v0.2.0|MIT License
[rotisserie/eris](https://github.com/rotisserie/eris)|v0.4.0|MIT License
[servicemeshinterface/smi-sdk-go](https://github.com/servicemeshinterface/smi-sdk-go)|v0.4.1|Apache License 2.0
[sirupsen/logrus](https://github.com/sirupsen/logrus)|v1.8.1|MIT License
[spf13/cobra](https://github.com/spf13/cobra)|v1.2.1|Apache License 2.0
[spf13/pflag](https://github.com/spf13/pflag)|v1.0.5|BSD 3-clause "New" or "Revised" License
[go.uber.org/atomic](https://go.uber.org/atomic)|v1.9.0|MIT License
[go.uber.org/zap](https://go.uber.org/zap)|v1.19.1|MIT License
[google.golang.org/grpc](https://google.golang.org/grpc)|v1.41.0-dev|Apache License 2.0
[google.golang.org/protobuf](https://google.golang.org/protobuf)|v1.27.1|BSD 3-clause "New" or "Revised" License
[helm/v3](https://helm.sh/helm/v3)|v3.7.1|Apache License 2.0
[istio.io/api](https://istio.io/api)|v0.0.0-20211118145728-107306f7642e|Apache License 2.0
[istio.io/client-go](https://istio.io/client-go)|v1.12.0-beta.2.0.20211115195637-e27e6b79344f|Apache License 2.0
[istio.io/istio](https://istio.io/istio)|v0.0.0-20211013140753-9f6f03276054|Apache License 2.0
[istio.io/pkg](https://istio.io/pkg)|v0.0.0-20211115195056-e379f31ee62a|Apache License 2.0
[istio.io/tools](https://istio.io/tools)|v0.0.0-20210420211536-9c0f48df3262|Apache License 2.0
[k8s.io/api](https://k8s.io/api)|v0.22.2|Apache License 2.0
[k8s.io/apiextensions-apiserver](https://k8s.io/apiextensions-apiserver)|v0.22.2|Apache License 2.0
[k8s.io/apimachinery](https://k8s.io/apimachinery)|v0.22.2|Apache License 2.0
[k8s.io/cli-runtime](https://k8s.io/cli-runtime)|v0.22.2|Apache License 2.0
[k8s.io/client-go](https://k8s.io/client-go)|v0.22.1|Apache License 2.0
[k8s.io/kubectl](https://k8s.io/kubectl)|v0.22.2|Apache License 2.0
[k8s.io/kubernetes](https://k8s.io/kubernetes)|v1.13.0|Apache License 2.0
[k8s.io/utils](https://k8s.io/utils)|v0.0.0-20210930125809-cb0fa318a74b|Apache License 2.0
[sigs.k8s.io/controller-runtime](https://sigs.k8s.io/controller-runtime)|v0.10.2|Apache License 2.0
[cmd/goimports](https://golang.org/x/tools/cmd/goimports)|latest|MIT License
[gogo/protobuf](https://github.com/gogo/protobuf)|latest|MIT License
[envoyproxy/envoy](https://github.com/envoyproxy/envoy)|latest|Apache License 2.0
[envoyproxy/protoc-gen-validate](https://github.com/envoyproxy/protoc-gen-validate)|latest|Apache License 2.0
[paulvollmer/2gobytes](https://github.com/paulvollmer/2gobytes)|latest|MIT License
